chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label,label_main,label_final,labels
风口浪尖,口,身体部位,危险/困境,舆论;社会压力,比喻处在最危险或矛盾最尖锐的位置，核心是处境，而非“口”的字面意义,artificial,危险,状态,['状态']
口齿伶俐,口;齿,身体部位,言语/表达能力,流利;机敏,表示说话流畅、反应敏捷，核心是语言能力，而非器官本身,artificial,言语,言语,['言语']
口干舌燥,口;舌,身体部位,身体/生理状态,疲劳;过度言语,表示口干舌燥的状态，可由说话过多引起，核心是生理状态,artificial,身体,身体,['身体']
口诛笔伐,口;笔,身体部位/工具,言语/表达,批评;攻击,表示通过言语和文字进行批评攻击，核心是表达行为,artificial,言语,言语,['言语']
苦口婆心,口,身体部位,行为/态度,劝导;关怀,表示耐心反复劝导他人，核心是行为态度，而非“口”本身,artificial,行为,行为,['行为']
脍炙人口,口,身体部位,社会评价/声誉,流行;广泛传播;称赞,表示作品或事物广为流传、深受喜爱，核心是社会评价，而非“口”的字面意义,artificial,社会评价,社会,['社会']
杀人灭口,口,身体部位,行为/暴力行为,掩盖;消除证据,表示通过杀人来消除证据或隐瞒真相，核心是行为目的，而非“口”,artificial,行为,行为,['行为']
信口开河,口,身体部位,言语/表达,随意;夸张;不真实,表示随意说话、夸大其词，核心是言语行为失控,artificial,言语,言语,['言语']
养家糊口,口,身体部位,经济/生存行为,家庭责任;谋生,表示维持家庭生计，核心是经济行为，而非“口”,artificial,经济,社会,['社会']
众口难调,口,身体部位,社会/群体行为,意见分歧;难以满足,表示难以满足所有人的不同意见，核心是群体互动,artificial,社会,社会,['社会']
失之交臂,臂,身体部位,机会/结果,错过;遗憾,表示错失机会，核心是事件结果，而非“臂”的字面意义,artificial,机会,行为,['行为']
弱肉强食,肉,食物/身体元素,社会/自然法则,竞争;强者优势,表示弱者被强者压制的规律，核心是抽象法则，而非字面“肉”,artificial,社会,社会,['社会']
白发苍苍,发,身体部位,外貌/年龄特征,衰老;年老,表示头发花白，象征年老，核心是年龄状态，而非单纯外貌描写,artificial,外貌,外貌,['外貌']
令人发指,发,身体部位,情绪/社会评价,愤怒;震惊;谴责,表示事情令人极度愤怒或震惊，核心是情绪反应与社会评价,artificial,情绪,情感,['情感']
捉襟见肘,肘,身体部位,困境/资源不足,困难;不足;局限,表示资源不足或处境窘迫，核心是困境,artificial,困境,状态,['状态']
包藏祸心,心,身体部位,道德/品格,恶意;阴谋;不良动机,表示内心怀有恶意或阴谋，核心是心理与品格,artificial,道德,道德,['道德']
不得人心,心,身体部位,社会/评价,不受欢迎;失去支持;负面声誉,表示不被大众接受，核心是社会评价,artificial,社会,社会,['社会']
敞开心扉,心,身体部位,言语/表达,坦诚;开放;情感表达,表示坦率表达内心，核心是表达方式,artificial,言语,言语,['言语']
诚心诚意,心,身体部位,态度/品格,真诚;诚恳;无虚假,表示态度真诚，核心是行为态度,artificial,态度,态度,['态度']
赤子之心,心,身体部位,品格/情感,纯真;善良;真诚,表示纯洁无邪的心，核心是品格,artificial,品格,品格,['道德']
蛊惑人心,心,身体部位,认知/操控,误导;煽动;操纵思想,表示影响他人思想，核心是认知操控,artificial,认知,认知,['认知']
将心比心,心,身体部位,社会/伦理原则,同理心;换位思考;公平,表示设身处地，核心是社会伦理,artificial,社会,社会,['社会']
匠心独运,心,身体部位,认知/创造力,创新;独特设计;匠心,表示独特创意，核心是创造力,artificial,认知,认知,['认知']
尽心竭力,心,身体部位,行为/投入程度,尽力;努力;全力以赴,表示竭尽全力，核心是行为投入,artificial,行为,行为,['行为']
惊心动魄,心,身体部位,情感/强烈情绪,震撼;惊恐;强烈感受,表示极强的情绪冲击，核心是情感体验,artificial,情感,情感,['情感']
精心策划,心,身体部位,认知/规划,计划;设计;精细安排,表示精细策划，核心是认知规划,artificial,认知,认知,['认知']
扣人心弦,心,身体部位,情感/触发机制,感动;吸引;情绪共鸣,表示引发强烈情感反应，核心是情感触发,artificial,情感,情感,['情感']
力不从心,心,身体部位,能力/限制,能力不足;力不从心;无能为力,表示能力无法满足意愿，核心是能力限制,artificial,能力,能力,['能力']
满怀信心,心,身体部位,心理/状态,自信;信念;积极态度,表示充满信心，核心是心理状态,artificial,心理,情感,['情感']
呕心沥血,心,身体部位,行动/努力,付出巨大努力;辛苦工作;奉献,表示极大付出与努力，核心是行动与投入,artificial,行动,行为,['行为']
全心全意,心,身体部位,行动/态度,全力以赴;专心;投入,表示完全投入，核心是行动态度,artificial,行动,行为,['行为']
人心所向,心,身体部位,社会/集体意志,公众意愿;支持;倾向,表示大众意志，核心是社会意志,artificial,社会,社会,['社会']
人心向背,心,身体部位,社会/态度,支持与反对;民意分化,表示人心取向，核心是社会态度,artificial,社会,社会,['社会']
深入人心,心,身体部位,认知/影响,影响深刻;被接受;传播,表示深入认知，核心是认知影响,artificial,认知,认知,['认知']
私心杂念,心,身体部位,道德/心理,自私;杂念;动机不纯,表示内心不纯，核心是道德心理,artificial,道德,道德,['道德']
同心同德,心,身体部位,社会/关系,团结;一致;合作,表示共同目标与意志，核心是社会关系,artificial,社会,社会,['社会']
万众一心,心,身体部位,社会/集体意志,团结;一致;共同目标,表示群体一致，核心是集体意志,artificial,社会,社会,['社会']
问心无愧,心,身体部位,道德/心理,无愧;坦然;良心安定,表示内心无愧，核心是道德心理,artificial,道德,道德,['道德']
群雄逐鹿,鹿,动物,社会/权力竞争,争夺;权力;竞争,表示多方争夺权力，核心是社会竞争,artificial,社会,社会,['社会']
鞍前马后,马,动物,社会/角色关系,服从;跟随;服务,表示跟随侍奉他人，核心是社会角色,artificial,社会,社会,['社会']
车水马龙,马,动物,社会/群体状态,繁忙;密集;流动,表示交通繁忙或人流密集,artificial,社会,社会,['社会']
汗马功劳,马,动物,行为/成就,贡献;功劳;努力成果,表示重要贡献或功绩，核心是成就评价,artificial,行为,行为,['行为']
天马行空,马,动物,认知/思维方式,自由;想象力;不受限制,表示思维自由奔放，核心是认知方式,artificial,认知,认知,['认知']
一马平川,马,动物,空间/地理概念,平坦;开阔;无障碍,表示地势平坦，核心是空间概念,artificial,空间,认知,['认知']
