chengyu,gold,pred_rule,pred_tfidf,pred_bert,rule_correct,tfidf_correct,bert_correct
鸡毛蒜皮,评价,状态,评价,情感,False,True,False
一口咬定,言语,言语,言语,认知,True,True,False
令人发指,情感,外貌,情感,认知,False,True,False
大快人心,情感,情感,情感,社会,True,True,False
犬马之年,其他,其他,其他,社会,True,True,False
车水马龙,社会,社会,社会,情感,True,True,False
口诛笔伐,言语,社会,言语,行为,False,True,False
下马看花,认知,社会,认知,行为,False,True,False
鸡零狗碎,评价,状态,评价,情感,False,True,False
版筑饭牛,社会,认知,社会,行为,False,True,False
众口一词,言语,言语,言语,社会,True,True,False
大发善心,情感,情感,情感,行为,True,True,False
马齿徒增,其他,社会,其他,社会,False,True,False
好心好意,情感,情感,情感,认知,True,True,False
师心自用,认知,情感,认知,情感,False,True,False
鸟声兽心,道德,社会,道德,认知,False,True,False
棒打鸳鸯,社会,情感,社会,行为,False,True,False
