expression,occurrence_count,files
avoir la main,1,chunk_27.txt
baisser la tête,1,chunk_40.txt
battre de l’aile,1,chunk_03.txt
bouc émissaire,9,chunk_02.txt; chunk_05.txt; chunk_11.txt; chunk_15.txt; chunk_17.txt; chunk_22.txt; chunk_26.txt; chunk_35.txt; chunk_45.txt
brebis galeuse,1,chunk_24.txt
comme un poisson hors de l’eau,1,chunk_26.txt
connaître par cœur,1,chunk_38.txt
corps et âme,3,chunk_10.txt; chunk_14.txt; chunk_49.txt
de bon cœur,1,chunk_46.txt
de main de maître,1,chunk_03.txt
de pied ferme,1,chunk_44.txt
de première main,14,chunk_01.txt; chunk_02.txt; chunk_10.txt; chunk_23.txt; chunk_36.txt; chunk_38.txt; chunk_40.txt; chunk_48.txt; chunk_49.txt
demander la main de,1,chunk_05.txt
des noms d’oiseaux,1,chunk_38.txt
donner un coup de main,1,chunk_40.txt
du coin de l’œil,1,chunk_15.txt
d’arrache-pied,1,chunk_01.txt
en avoir le cœur net,1,chunk_02.txt
en chair et en os,3,chunk_20.txt; chunk_34.txt
en un clin d’œil,1,chunk_22.txt
face de rat,1,chunk_37.txt
faire tourner en bourrique,1,chunk_34.txt
haut la main,2,chunk_35.txt
les yeux fermés,15,chunk_06.txt; chunk_09.txt; chunk_13.txt; chunk_19.txt; chunk_20.txt; chunk_30.txt; chunk_35.txt; chunk_38.txt; chunk_44.txt; chunk_50.txt
mettre sur pied,20,chunk_04.txt; chunk_05.txt; chunk_10.txt; chunk_13.txt; chunk_16.txt; chunk_23.txt; chunk_24.txt; chunk_32.txt; chunk_34.txt; chunk_36.txt; chunk_38.txt; chunk_40.txt; chunk_45.txt; chunk_46.txt; chunk_47.txt
mon œil,1,chunk_47.txt
perdre la tête,3,chunk_45.txt
pour les beaux yeux de,1,chunk_41.txt
prêter main-forte,1,chunk_05.txt
sans queue ni tête,1,chunk_24.txt
talon d’Achille,3,chunk_23.txt; chunk_44.txt; chunk_50.txt
un oiseau rare,3,chunk_01.txt; chunk_09.txt; chunk_13.txt
un temps de chien,1,chunk_09.txt
un tête à tête,1,chunk_22.txt
un œil au beurre noir,1,chunk_34.txt
une faim de loup,1,chunk_40.txt
une poule mouillée,1,chunk_47.txt
une tête de cochon,2,chunk_04.txt; chunk_25.txt
une vie de chien,5,chunk_02.txt; chunk_08.txt; chunk_27.txt; chunk_44.txt
une vraie fourmi,1,chunk_44.txt
voir à l’œil nu,1,chunk_39.txt
voler de ses propres ailes,1,chunk_07.txt
à bras ouverts,1,chunk_01.txt
à l’œil,70,chunk_01.txt; chunk_02.txt; chunk_03.txt; chunk_04.txt; chunk_05.txt; chunk_11.txt; chunk_14.txt; chunk_16.txt; chunk_18.txt; chunk_20.txt; chunk_21.txt; chunk_22.txt; chunk_23.txt; chunk_25.txt; chunk_26.txt; chunk_27.txt; chunk_28.txt; chunk_29.txt; chunk_30.txt; chunk_31.txt; chunk_32.txt; chunk_33.txt; chunk_35.txt; chunk_36.txt; chunk_38.txt; chunk_39.txt; chunk_41.txt; chunk_42.txt; chunk_43.txt; chunk_44.txt; chunk_45.txt; chunk_46.txt; chunk_49.txt; chunk_50.txt
à visage découvert,2,chunk_12.txt; chunk_19.txt
être rat,20,chunk_05.txt; chunk_06.txt; chunk_07.txt; chunk_13.txt; chunk_14.txt; chunk_17.txt; chunk_18.txt; chunk_31.txt; chunk_37.txt; chunk_45.txt; chunk_49.txt; chunk_50.txt
