mot_clef,keyword_all,keyword_attested
agneau,1,0
aigle,2,0
aile,4,1
ailes,4,1
alouettes,2,0
anchois,1,0
anguille,1,0
araignée,1,0
autruche,2,0
babines,1,0
baleine,1,0
barbe,2,0
bec,5,0
bile,2,0
bosse,2,0
bouc,1,1
bouche,7,0
bourrique,3,1
bras,10,1
brebis,1,1
bécasse,1,0
bête,3,0
bœuf,4,0
bœufs,2,0
canard,8,0
caquet,1,0
carpe,3,0
cervelle,1,0
chair,2,1
chameau,1,0
chat,13,0
chats,2,0
chatte,1,0
cheval,12,0
cheveu,4,0
cheveux,7,0
cheville,3,0
chevilles,1,0
chien,17,2
chiens,4,0
chignon,1,0
chèvre,2,0
cil,1,0
cochon,9,1
cochons,3,0
coq,8,0
corneilles,1,0
corps,5,1
cou,6,0
coude,4,0
coudes,2,0
couilles,4,0
couleuvre,1,0
couleuvres,1,0
crabe,1,0
crabes,1,0
crocodile,1,0
crâne,1,0
cuisse,2,0
cul,11,0
côtes,1,0
cœur,44,3
dalle,4,0
dent,3,0
dents,17,0
dindon,1,0
doigt,11,0
doigts,11,0
dos,17,0
ergots,1,0
escargot,1,0
estomac,6,0
face,2,0
fesses,3,0
flanc,2,0
foie,1,0
fourmi,1,1
fourmilière,1,0
fourmis,2,0
fretin,1,0
front,1,0
genou,1,0
genoux,1,0
girafe,1,0
gorge,3,0
grenouille,1,0
grue,3,0
gueule,2,0
guêpe,1,0
guêpes,1,0
hannetons,1,0
jambe,5,0
jambes,5,0
joues,1,0
langue,7,0
lapin,4,0
linotte,1,0
lion,1,0
lièvre,1,0
loup,8,1
loups,1,0
lèvres,1,0
lézard,1,0
main,24,7
mains,11,0
menton,1,0
mine,2,0
moineau,2,0
moineaux,1,0
mouche,9,0
mouches,3,0
mouton,4,0
moutons,2,0
mule,1,0
nerfs,3,0
nez,26,0
nombril,1,0
oie,3,0
oiseau,7,1
oiseaux,1,1
ongle,1,0
ongles,2,0
oreille,12,0
oreilles,6,0
orteils,1,0
os,4,0
ours,1,0
paon,1,0
patte,1,0
peau,16,0
pie,1,0
pied,26,3
pieds,9,0
plumes,1,0
poil,8,0
poisson,6,1
poissons,1,0
pou,3,0
pouce,2,0
pouces,1,0
poule,6,1
poules,2,0
pourceaux,1,0
poux,1,0
puce,2,0
puces,1,0
putois,1,0
rat,3,2
reins,2,0
renard,2,0
roue,1,0
sang,6,0
sansonnet,1,0
sardines,1,0
serpent,1,0
singe,3,0
sourcils,1,0
souris,1,0
taille,1,0
talon,1,1
talons,1,0
taureau,2,0
teigne,1,0
tortue,1,0
tête,46,5
têtes,1,0
vache,5,0
vaches,2,0
veau,1,0
veines,1,0
ventre,4,0
ver,1,0
vers,1,0
vessies,1,0
vipère,1,0
visage,2,1
yeux,22,2
zèbre,1,0
âne,9,0
échine,2,0
écrevisse,1,0
éléphant,2,0
épaules,2,0
œil,22,6
